node_id,is_accused,is_witness,gender_female,gender_male,gender_unknown,in_degree,out_degree
herbs,0,1,0,0,1,0,1
"B 2192 no 2, witch 003, Claudon femme Jean Bregeat, de Sallonne",1,0,0,0,1,57,0
above.,0,1,0,1,0,0,1
"B 3804 no 1; Witch 066, Nicolas Adam de Dompierre",1,0,0,0,1,19,0
had been crying in poisle,0,1,0,0,1,0,1
"B 6723 no 2; witch 108, Jean Cachette de Flin",1,0,0,0,1,30,0
?,0,1,0,0,1,0,3
"B 8700 no 4; witch 239, Claudette femme Bastien Delat, de St Dié",1,0,0,0,1,19,0
"B 8702 no 1; witch 240, Jean Gregoire Mathis de Bertrimoutier",1,0,0,0,1,18,0
"B 8702 no 8; witch 247, Sebille femme Etienne Pescheur, de La Neuveville-les-Raon",1,0,0,0,1,18,0
Arnauld,0,1,0,0,1,0,1
"B 7394; witch 125, Pierrot Cosson and his wife Jeannotte, of Malzeville",1,0,0,0,1,12,0
Margueritte femme Nicolas Aubert,0,1,0,0,1,0,1
"B 8693 no 3; witch 232; Barbelline femme Didier Antoine, d'Entre-deux-Eaux",1,0,0,0,1,26,0
Colla Symeon,0,1,0,0,1,0,1
"B 5312 no 4; witch 094, Senelle femme du jeune Enguers, de Guinzeling",1,0,0,0,1,30,0
Elizabetz,0,1,0,0,1,0,1
"B 8721 no 3; Witch 295, Catherine femme Bertremin Claude de Wisembach",1,0,0,0,1,26,0
Schlosspetter,0,1,0,0,1,0,1
"B 5312 no 3; witch 093, Anon veuve Didier Vosgien de Bassing",1,0,0,0,1,14,0
Barbeline femme Claude Micquel,0,1,0,0,1,0,1
"B 8535 no 3; witch 135, Zabel femme Olry Go de Rozieres",1,0,0,0,1,5,0
Nicolas le Maimbourg de Ginfosse,0,1,0,0,1,0,1
"B 8702 no 6; witch 245, Jennon veuve Demenge Napuel, de Raves",1,0,0,0,1,10,0
Claudon Jean le petit Nicolas de Neumont,0,1,0,0,1,0,1
"B 8721 no 8; Witch 300, Nicolas Claudon de Chastay (Ban-de-Sapt)",1,0,0,0,1,25,0
Beniste femme Dieudonné Valence,0,1,0,0,1,0,1
"B 8717 no 3; witch 286, Catherine femme Benoist Mathieu de la Grandfosse",1,0,0,0,1,13,0
Elie femme Colas d'Avould,0,1,0,0,1,0,1
"B 8719 no 1; witch 290, Mongeatte femme Jean Johel de Moyenmoutier",1,0,0,0,1,19,0
Jean Claudon de Domjevin,0,1,0,0,1,0,2
"B 3327 no 1; witch 037, Chrestienne femme Nicolas Barret de Domjevin",1,0,0,0,1,11,0
"B 3327 no 2; Witch 038, Barbelline femme Jean Goudot, de Domjevin",1,0,0,0,1,14,0
Lucie veuve Claudon Nicolle,0,1,0,0,1,0,1
"B 3333; witch 042, Chretienne Simon, femme Demenge Fennay, de Domjevin",1,0,0,0,1,11,0
Barbe Symon femme Laurent François,0,1,0,0,1,0,1
"B 7326; witch 123, Isabillon femme Jean Parmentier, de la Neufville-devant-Nancy",1,0,0,0,1,28,0
Jean fils feu Jean Babel,0,1,0,0,1,0,1
"B 8707 no 4; witch 256, Jean Gerardin de la Voivrelle",1,0,0,0,1,21,0
Jehan Simon de la Chapelle,0,1,0,0,1,0,1
"Witch 159: B8677 no 5, Blason Charpentier de La Chapelle",1,0,0,0,1,23,0
Chrestienne femme a Bernard Faltin de Blamont,0,1,0,0,1,0,1
"B 3317 no 2; Witch 024, Jennon veuve Didier Ramaixe alias Virtemberg, de Blamont",1,0,0,0,1,28,0
Dedielle femme Michiel Jean Michiel,0,1,0,0,1,0,1
"B 8669 no 1; Witch 148, Jeanne femme Jean Lienard le maimbourg, de Ginfosse",1,0,0,0,1,19,0
Jean Thieriot de la Fosse,0,1,0,0,1,0,2
"B 8708 no 7; witch 268, Marguitte femme Girardin Haxo de La Fosse",1,0,0,0,1,9,0
"Witch 271; B 8708 no 10, Jean Gerardin Haxo de la Fosse",1,0,0,0,1,16,0
Jennon femme Demenge des Boeufs,0,1,0,0,1,0,2
"B 8702 no 9; witch 248, Jean Pierron Geliat, de la Neuveville-les-Raon",1,0,0,0,1,18,0
