source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Chretienne,Jean Parmentier,CHILD_OF,w015,1.0,"B 2583 no 1; witch 015, Chretienne fille Jean Parmentier de l'Estraye",directed,,{}
Jean,Nicolas Colombain,CHILD_OF,w020,1.0,"B 2583 no 6; witch 020, Jean fils Nicolas Colombain, de l'Estraye",directed,,{}
Pierson,Petit Pierson,CHILD_OF,w030,1.0,"B 3323 no 6; witch 030, Pierson fils Petit Pierson, de Leintrey",directed,,{}
Mengeotte,Didier Le,CHILD_OF,w151,1.0,"B 8669 no 4; witch 151, Mengeotte fille Didier Le Compaing, of Develine, ban",directed,,{}
Georgeatte,Jean Pelisson,CHILD_OF,w182,1.0,"B 8682 no 4; witch 182, Georgeatte fille Jean Pelisson, de Moriviller",directed,,{}
Jean,Demenge Arnoulx,CHILD_OF,w191,1.0,"B 8684 no 4; Witch 191, Jean fils Demenge Arnoulx de Sauceray",directed,,{}
Claudel,Claudon Jean,CHILD_OF,w220,1.0,"B 8691 no 9; witch 220, Claudel fils Claudon Jean Perrin de Remémont",directed,,{}
Sebille,Didier Pescheur,CHILD_OF,w314,1.0,"B 8736; witch 314, Sebille fille Didier Pescheur de la Neufville les Raon",directed,,{}
Barbelline,Guillaume Jean,CHILD_OF,w334,1.0,"B 9573; witch 334, Barbelline fille Guillaume Jean Chaperey de Ste Croix",directed,,{}
Laurence,Nicolas Symmonet,CHILD_OF,w006,1.0,Laurence fille Nicolas Symmonet,directed,,{}
Claudon,Claudin Fulpin,CHILD_OF,w011,1.0,Claudon fille Claudin Fulpin,directed,,{}
Dion,Parel Vilaume,CHILD_OF,w011,1.0,Dion fille Parel Vilaume le vieux,directed,,{}
Remy,Jean Graniere,CHILD_OF,w012,1.0,Remy fils Jean Graniere,directed,,{}
Jean,Thienon Boudart,CHILD_OF,w013,1.0,Jean fils Thienon Boudart de Xennenay,directed,,{}
Anthoinette,Nicolas Petit,CHILD_OF,w017,1.0,Anthoinette fille Nicolas Petit Jean,directed,,{}
Mengeon,Nicolas Villaume,CHILD_OF,w018,1.0,Mengeon fille Nicolas Villaume,directed,,{}
Magdelaine,Nicolas Villaume,CHILD_OF,w018,1.0,Magdelaine fille Nicolas Villaume,directed,,{}
Nicolas,Demenge Lamouratte,CHILD_OF,w018,1.0,Nicolas fils Demenge Lamouratte,directed,,{}
Estienne,Jean Haxart,CHILD_OF,w018,1.0,Estienne fils Jean Haxart,directed,,{}
Claudon,Jean Demenge,CHILD_OF,w018,1.0,Claudon fils Jean Demenge,directed,,{}
Marie,Jean Colin,CHILD_OF,w018,1.0,Marie fille Jean Colin,directed,,{}
Claudon,Vincent Choffel,CHILD_OF,w018,1.0,Claudon fils Vincent Choffel,directed,,{}
Anthoinette,Nicolas Petit,CHILD_OF,w019,1.0,Anthoinette fille Nicolas Petit Jean,directed,,{}
Marie,Remy Jeandel,CHILD_OF,w021,1.0,Marie fille Remy Jeandel,directed,,{}
Sebille,Didier,CHILD_OF,w027,1.0,Sebille fille Didier de Vacory,directed,,{}
