source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
B 2148; witch 001; Jean Bulme,Didiere sa femme,CO_ACCUSED,w001,0.9,Co-accused in w001,undirected,1591.0,{}
B 2148; witch 001; Jean Bulme,de Mazerulles,CO_ACCUSED,w001,0.9,Co-accused in w001,undirected,1591.0,{}
Didiere sa femme,de Mazerulles,CO_ACCUSED,w001,0.9,Co-accused in w001,undirected,1591.0,{}
B 2192 no 1; witch 138,Mengin Mathiotte de Mazerulles,CO_ACCUSED,w002,0.9,Co-accused in w002,undirected,1612.0,{}
B 2192 no 2,witch 003,CO_ACCUSED,w003,0.9,Co-accused in w003,undirected,1612.0,{}
B 2192 no 2,Claudon femme Jean Bregeat,CO_ACCUSED,w003,0.9,Co-accused in w003,undirected,1612.0,{}
B 2192 no 2,de Sallonne,CO_ACCUSED,w003,0.9,Co-accused in w003,undirected,1612.0,{}
witch 003,Claudon femme Jean Bregeat,CO_ACCUSED,w003,0.9,Co-accused in w003,undirected,1612.0,{}
witch 003,de Sallonne,CO_ACCUSED,w003,0.9,Co-accused in w003,undirected,1612.0,{}
Claudon femme Jean Bregeat,de Sallonne,CO_ACCUSED,w003,0.9,Co-accused in w003,undirected,1612.0,{}
B 2197; witch 004,Catherine Dieudonnée,CO_ACCUSED,w004,0.9,Co-accused in w004,undirected,1615.0,{}
B 2197; witch 004,de Sallonne,CO_ACCUSED,w004,0.9,Co-accused in w004,undirected,1615.0,{}
Catherine Dieudonnée,de Sallonne,CO_ACCUSED,w004,0.9,Co-accused in w004,undirected,1615.0,{}
B 2199 no 1; witch 005,Jacquotte femme Nicolas Tixerand,CO_ACCUSED,w005,0.9,Co-accused in w005,undirected,1616.0,{}
B 2199 no 1; witch 005,du Bourget d'Amance,CO_ACCUSED,w005,0.9,Co-accused in w005,undirected,1616.0,{}
Jacquotte femme Nicolas Tixerand,du Bourget d'Amance,CO_ACCUSED,w005,0.9,Co-accused in w005,undirected,1616.0,{}
B 2199 no 2; witch 006,Françoise femme Bastien Bourguignon,CO_ACCUSED,w006,0.9,Co-accused in w006,undirected,1615.0,{}
B 2199 no 2; witch 006,dite la Vilaume,CO_ACCUSED,w006,0.9,Co-accused in w006,undirected,1615.0,{}
Françoise femme Bastien Bourguignon,dite la Vilaume,CO_ACCUSED,w006,0.9,Co-accused in w006,undirected,1615.0,{}
B 2199 no 3; witch 007,Collatte veuve Cesar Lorette,CO_ACCUSED,w007,0.9,Co-accused in w007,undirected,1615.0,{}
B 2199 no 3; witch 007,of Laitre-sous-Amance,CO_ACCUSED,w007,0.9,Co-accused in w007,undirected,1615.0,{}
Collatte veuve Cesar Lorette,of Laitre-sous-Amance,CO_ACCUSED,w007,0.9,Co-accused in w007,undirected,1615.0,{}
B 2199 no 4; witch 139,Mariette veuve Claude Malfourby,CO_ACCUSED,w008,0.9,Co-accused in w008,undirected,1616.0,{}
B 2199 no 4; witch 139,d'Amance,CO_ACCUSED,w008,0.9,Co-accused in w008,undirected,1616.0,{}
Mariette veuve Claude Malfourby,d'Amance,CO_ACCUSED,w008,0.9,Co-accused in w008,undirected,1616.0,{}
B 2203 no 1; witch 009,Catherine femme Claudon Malgrais,CO_ACCUSED,w009,0.9,Co-accused in w009,undirected,1618.0,{}
B 2203 no 1; witch 009,de Champegnoult,CO_ACCUSED,w009,0.9,Co-accused in w009,undirected,1618.0,{}
Catherine femme Claudon Malgrais,de Champegnoult,CO_ACCUSED,w009,0.9,Co-accused in w009,undirected,1618.0,{}
B 2203 no 2; witch 010,Jean Parmentier,CO_ACCUSED,w010,0.9,Co-accused in w010,undirected,1618.0,{}
B 2203 no 2; witch 010,de Champegnoult,CO_ACCUSED,w010,0.9,Co-accused in w010,undirected,1618.0,{}
Jean Parmentier,de Champegnoult,CO_ACCUSED,w010,0.9,Co-accused in w010,undirected,1618.0,{}
B 2211 no 1; witch 011,Margueritte femme Jean Estienne,CO_ACCUSED,w011,0.9,Co-accused in w011,undirected,1625.0,{}
B 2211 no 1; witch 011,d'Amance,CO_ACCUSED,w011,0.9,Co-accused in w011,undirected,1625.0,{}
Margueritte femme Jean Estienne,d'Amance,CO_ACCUSED,w011,0.9,Co-accused in w011,undirected,1625.0,{}
B 2512; witch 012,Jacotte femme Demenge Romary Petit Colin,CO_ACCUSED,w012,0.9,Co-accused in w012,undirected,1594.0,{}
B 2512; witch 012,de Seuche,CO_ACCUSED,w012,0.9,Co-accused in w012,undirected,1594.0,{}
Jacotte femme Demenge Romary Petit Colin,de Seuche,CO_ACCUSED,w012,0.9,Co-accused in w012,undirected,1594.0,{}
B 2521 no 1; Witch 013,Jacotte femme Nicolas François Raon de Xennenay,CO_ACCUSED,w013,0.9,Co-accused in w013,undirected,1598.0,{}
B 2574; Witch 014; Claude Hocquart,Mengeotte Hocquart,CO_ACCUSED,w014,0.9,Co-accused in w014,undirected,1617.0,{}
B 2574; Witch 014; Claude Hocquart,Catherine femme,CO_ACCUSED,w014,0.9,Co-accused in w014,undirected,1617.0,{}
Mengeotte Hocquart,Catherine femme,CO_ACCUSED,w014,0.9,Co-accused in w014,undirected,1617.0,{}
B 2583 no 1; witch 015,Chretienne fille Jean Parmentier de l'Estraye,CO_ACCUSED,w015,0.9,Co-accused in w015,undirected,1624.0,{}
B 2583 no 2; witch 016,Remiere veuve Bastien Clement Beustal,CO_ACCUSED,w016,0.9,Co-accused in w016,undirected,1624.0,{}
B 2583 no 2; witch 016,du Thillot,CO_ACCUSED,w016,0.9,Co-accused in w016,undirected,1624.0,{}
Remiere veuve Bastien Clement Beustal,du Thillot,CO_ACCUSED,w016,0.9,Co-accused in w016,undirected,1624.0,{}
B 2583 no 3; witch 017,George Parmentier de l'Estraye,CO_ACCUSED,w017,0.9,Co-accused in w017,undirected,1624.0,{}
B 2583 no 4; witch 018,Mengeotte femme Nicolas Colombain,CO_ACCUSED,w018,0.9,Co-accused in w018,undirected,1624.0,{}
B 2583 no 4; witch 018,de l'Estraye,CO_ACCUSED,w018,0.9,Co-accused in w018,undirected,1624.0,{}
Mengeotte femme Nicolas Colombain,de l'Estraye,CO_ACCUSED,w018,0.9,Co-accused in w018,undirected,1624.0,{}
B 2583 no 5; witch 019,Jean Brice George de Xouarupt,CO_ACCUSED,w019,0.9,Co-accused in w019,undirected,1624.0,{}
B 2583 no 6; witch 020,Jean fils Nicolas Colombain,CO_ACCUSED,w020,0.9,Co-accused in w020,undirected,1624.0,{}
B 2583 no 6; witch 020,de l'Estraye,CO_ACCUSED,w020,0.9,Co-accused in w020,undirected,1624.0,{}
Jean fils Nicolas Colombain,de l'Estraye,CO_ACCUSED,w020,0.9,Co-accused in w020,undirected,1624.0,{}
B 2583 no 7; witch 021,Royne veuve Dilan Parmentier,CO_ACCUSED,w021,0.9,Co-accused in w021,undirected,1624.0,{}
B 2583 no 7; witch 021,dite des Tartres,CO_ACCUSED,w021,0.9,Co-accused in w021,undirected,1624.0,{}
Royne veuve Dilan Parmentier,dite des Tartres,CO_ACCUSED,w021,0.9,Co-accused in w021,undirected,1624.0,{}
B 2584; witch 022,Anthoine Grevillon du val de Ramonchamp,CO_ACCUSED,w022,0.9,Co-accused in w022,undirected,1625.0,{}
B 3317 no 1; Witch 023,Didie veuve Demenge Pourlatte,CO_ACCUSED,w023,0.9,Co-accused in w023,undirected,1599.0,{}
B 3317 no 1; Witch 023,de Blamont,CO_ACCUSED,w023,0.9,Co-accused in w023,undirected,1599.0,{}
Didie veuve Demenge Pourlatte,de Blamont,CO_ACCUSED,w023,0.9,Co-accused in w023,undirected,1599.0,{}
B 3317 no 2; Witch 024,Jennon veuve Didier Ramaixe alias Virtemberg,CO_ACCUSED,w024,0.9,Co-accused in w024,undirected,1599.0,{}
B 3317 no 2; Witch 024,de Blamont,CO_ACCUSED,w024,0.9,Co-accused in w024,undirected,1599.0,{}
Jennon veuve Didier Ramaixe alias Virtemberg,de Blamont,CO_ACCUSED,w024,0.9,Co-accused in w024,undirected,1599.0,{}
B 3323 no 1; witch 025,Jeannotte veuve Claudon Toussaint,CO_ACCUSED,w025,0.9,Co-accused in w025,undirected,1601.0,{}
B 3323 no 1; witch 025,de Leintrey.,CO_ACCUSED,w025,0.9,Co-accused in w025,undirected,1601.0,{}
Jeannotte veuve Claudon Toussaint,de Leintrey.,CO_ACCUSED,w025,0.9,Co-accused in w025,undirected,1601.0,{}
B 3323 no 2; witch 026,Sebille femme Jean Pierson,CO_ACCUSED,w026,0.9,Co-accused in w026,undirected,1602.0,{}
B 3323 no 2; witch 026,de Leintrey,CO_ACCUSED,w026,0.9,Co-accused in w026,undirected,1602.0,{}
Sebille femme Jean Pierson,de Leintrey,CO_ACCUSED,w026,0.9,Co-accused in w026,undirected,1602.0,{}
B 3323 no 3; witch 027,la Grande Marye,CO_ACCUSED,w027,0.9,Co-accused in w027,undirected,1602.0,{}
B 3323 no 3; witch 027,veuve Didier Sotterel,CO_ACCUSED,w027,0.9,Co-accused in w027,undirected,1602.0,{}
B 3323 no 3; witch 027,de Leintrey,CO_ACCUSED,w027,0.9,Co-accused in w027,undirected,1602.0,{}
la Grande Marye,veuve Didier Sotterel,CO_ACCUSED,w027,0.9,Co-accused in w027,undirected,1602.0,{}
la Grande Marye,de Leintrey,CO_ACCUSED,w027,0.9,Co-accused in w027,undirected,1602.0,{}
veuve Didier Sotterel,de Leintrey,CO_ACCUSED,w027,0.9,Co-accused in w027,undirected,1602.0,{}
B 3323 no 4; witch 028,Marguerite Jobarde,CO_ACCUSED,w028,0.9,Co-accused in w028,undirected,1602.0,{}
B 3323 no 4; witch 028,veuve Demenge Vaultrin,CO_ACCUSED,w028,0.9,Co-accused in w028,undirected,1602.0,{}
B 3323 no 4; witch 028,de Leintrey,CO_ACCUSED,w028,0.9,Co-accused in w028,undirected,1602.0,{}
Marguerite Jobarde,veuve Demenge Vaultrin,CO_ACCUSED,w028,0.9,Co-accused in w028,undirected,1602.0,{}
Marguerite Jobarde,de Leintrey,CO_ACCUSED,w028,0.9,Co-accused in w028,undirected,1602.0,{}
veuve Demenge Vaultrin,de Leintrey,CO_ACCUSED,w028,0.9,Co-accused in w028,undirected,1602.0,{}
B 3323 no 5; witch 029,Mathieu Margeron de Leintrey,CO_ACCUSED,w029,0.9,Co-accused in w029,undirected,1602.0,{}
B 3323 no 6; witch 030,Pierson fils Petit Pierson,CO_ACCUSED,w030,0.9,Co-accused in w030,undirected,1602.0,{}
B 3323 no 6; witch 030,de Leintrey,CO_ACCUSED,w030,0.9,Co-accused in w030,undirected,1602.0,{}
Pierson fils Petit Pierson,de Leintrey,CO_ACCUSED,w030,0.9,Co-accused in w030,undirected,1602.0,{}
B 3323 no 7; witch 031,Didier femme Nicolas le Vefue le Viel,CO_ACCUSED,w031,0.9,Co-accused in w031,undirected,1602.0,{}
B 3323 no 7; witch 031,de Leintrey,CO_ACCUSED,w031,0.9,Co-accused in w031,undirected,1602.0,{}
Didier femme Nicolas le Vefue le Viel,de Leintrey,CO_ACCUSED,w031,0.9,Co-accused in w031,undirected,1602.0,{}
B 3323 no 8; witch 032,Noel Purel (dit le Petit Noel),CO_ACCUSED,w032,0.9,Co-accused in w032,undirected,1602.0,{}
B 3323 no 8; witch 032,de Blemerey,CO_ACCUSED,w032,0.9,Co-accused in w032,undirected,1602.0,{}
Noel Purel (dit le Petit Noel),de Blemerey,CO_ACCUSED,w032,0.9,Co-accused in w032,undirected,1602.0,{}
B 3323 no 9; Witch 033,Jennon fille feu le Petit Poirson,CO_ACCUSED,w033,0.9,Co-accused in w033,undirected,1602.0,{}
B 3323 no 9; Witch 033,de Leintrey,CO_ACCUSED,w033,0.9,Co-accused in w033,undirected,1602.0,{}
Jennon fille feu le Petit Poirson,de Leintrey,CO_ACCUSED,w033,0.9,Co-accused in w033,undirected,1602.0,{}
B 3325 no 1; witch 034,Claudon de Benamenil,CO_ACCUSED,w034,0.9,Co-accused in w034,undirected,1602.0,{}
B 3325 no 1; witch 034,living at Gondrexon,CO_ACCUSED,w034,0.9,Co-accused in w034,undirected,1602.0,{}
Claudon de Benamenil,living at Gondrexon,CO_ACCUSED,w034,0.9,Co-accused in w034,undirected,1602.0,{}
B 3325 no 2; witch 035,Clemence veuve Claudon Marchal,CO_ACCUSED,w035,0.9,Co-accused in w035,undirected,1603.0,{}
B 3325 no 2; witch 035,de Domjevin,CO_ACCUSED,w035,0.9,Co-accused in w035,undirected,1603.0,{}
Clemence veuve Claudon Marchal,de Domjevin,CO_ACCUSED,w035,0.9,Co-accused in w035,undirected,1603.0,{}
B 3325 no 3; witch 036,Jennon femme Gerardin Friot de Domjevin,CO_ACCUSED,w036,0.9,Co-accused in w036,undirected,1603.0,{}
B 3327 no 1; witch 037,Chrestienne femme Nicolas Barret de Domjevin,CO_ACCUSED,w037,0.9,Co-accused in w037,undirected,1603.0,{}
B 3327 no 2; Witch 038,Barbelline femme Jean Goudot,CO_ACCUSED,w038,0.9,Co-accused in w038,undirected,1603.0,{}
B 3327 no 2; Witch 038,de Domjevin,CO_ACCUSED,w038,0.9,Co-accused in w038,undirected,1603.0,{}
Barbelline femme Jean Goudot,de Domjevin,CO_ACCUSED,w038,0.9,Co-accused in w038,undirected,1603.0,{}
B 3327 no 3; witch 039,Margueritte Francois,CO_ACCUSED,w039,0.9,Co-accused in w039,undirected,1604.0,{}
B 3327 no 3; witch 039,veuve Dieudonné du Banc de Reillon,CO_ACCUSED,w039,0.9,Co-accused in w039,undirected,1604.0,{}
Margueritte Francois,veuve Dieudonné du Banc de Reillon,CO_ACCUSED,w039,0.9,Co-accused in w039,undirected,1604.0,{}
B 3327 no 4; Witch 040,Nicolas Raimbault de Reillon,CO_ACCUSED,w040,0.9,Co-accused in w040,undirected,1604.0,{}
B 3329; Witch 041,Claudatte femme Nicolas Chollat,CO_ACCUSED,w041,0.9,Co-accused in w041,undirected,1605.0,{}
B 3329; Witch 041,de Repas,CO_ACCUSED,w041,0.9,Co-accused in w041,undirected,1605.0,{}
Claudatte femme Nicolas Chollat,de Repas,CO_ACCUSED,w041,0.9,Co-accused in w041,undirected,1605.0,{}
B 3333; witch 042,Chretienne Simon,CO_ACCUSED,w042,0.9,Co-accused in w042,undirected,1607.0,{}
B 3333; witch 042,femme Demenge Fennay,CO_ACCUSED,w042,0.9,Co-accused in w042,undirected,1607.0,{}
B 3333; witch 042,de Domjevin,CO_ACCUSED,w042,0.9,Co-accused in w042,undirected,1607.0,{}
Chretienne Simon,femme Demenge Fennay,CO_ACCUSED,w042,0.9,Co-accused in w042,undirected,1607.0,{}
Chretienne Simon,de Domjevin,CO_ACCUSED,w042,0.9,Co-accused in w042,undirected,1607.0,{}
femme Demenge Fennay,de Domjevin,CO_ACCUSED,w042,0.9,Co-accused in w042,undirected,1607.0,{}
B 3335 no 1; witch 043,Jennon veuve Jean Zabey,CO_ACCUSED,w043,0.9,Co-accused in w043,undirected,1608.0,{}
B 3335 no 1; witch 043,de Leintrey,CO_ACCUSED,w043,0.9,Co-accused in w043,undirected,1608.0,{}
