source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Nicolas Parmentier,Odille femme Claudin Thieriat,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Nicolas Parmentier,Barbellon femme Nicolas Mulnier,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Nicolas Parmentier,Catherine femme Didier Moictrier,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Nicolas Parmentier,Claude Guerard,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Nicolas Parmentier,Laurent Doullat,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Nicolas Parmentier,Jean Hangney,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Nicolas Parmentier,Dyon femme Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Nicolas Parmentier,Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Nicolas Parmentier,Anthoine Rougier,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Odille femme Claudin Thieriat,Barbellon femme Nicolas Mulnier,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Odille femme Claudin Thieriat,Catherine femme Didier Moictrier,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Odille femme Claudin Thieriat,Claude Guerard,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Odille femme Claudin Thieriat,Laurent Doullat,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Odille femme Claudin Thieriat,Jean Hangney,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Odille femme Claudin Thieriat,Dyon femme Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Odille femme Claudin Thieriat,Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Odille femme Claudin Thieriat,Anthoine Rougier,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Barbellon femme Nicolas Mulnier,Catherine femme Didier Moictrier,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Barbellon femme Nicolas Mulnier,Claude Guerard,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Barbellon femme Nicolas Mulnier,Laurent Doullat,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Barbellon femme Nicolas Mulnier,Jean Hangney,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Barbellon femme Nicolas Mulnier,Dyon femme Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Barbellon femme Nicolas Mulnier,Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Barbellon femme Nicolas Mulnier,Anthoine Rougier,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Catherine femme Didier Moictrier,Claude Guerard,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Catherine femme Didier Moictrier,Laurent Doullat,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Catherine femme Didier Moictrier,Jean Hangney,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Catherine femme Didier Moictrier,Dyon femme Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Catherine femme Didier Moictrier,Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Catherine femme Didier Moictrier,Anthoine Rougier,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Claude Guerard,Laurent Doullat,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Claude Guerard,Jean Hangney,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Claude Guerard,Dyon femme Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Claude Guerard,Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Claude Guerard,Anthoine Rougier,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Laurent Doullat,Jean Hangney,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
Laurent Doullat,Dyon femme Jean Vosgien,CO_WITNESS,w001,0.5,Both witnessed in w001,undirected,,{}
