source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Nicolas Parmentier,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST,w001,0.95,Witness 1 in trial w001,directed,1591.0,"{'personal_suspicion': False, 'testimony_length': 306, 'reputation_years': nan}"
Odille femme Claudin Thieriat,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST,w001,0.95,Witness 2 in trial w001,directed,1591.0,"{'personal_suspicion': False, 'testimony_length': 243, 'reputation_years': nan}"
Barbellon femme Nicolas Mulnier,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST,w001,0.95,Witness 4 in trial w001,directed,1591.0,"{'personal_suspicion': False, 'testimony_length': 256, 'reputation_years': 15.0}"
Catherine femme Didier Moictrier,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST,w001,0.95,Witness 5 in trial w001,directed,1591.0,"{'personal_suspicion': False, 'testimony_length': 106, 'reputation_years': nan}"
Claude Guerard,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST,w001,0.95,Witness 6 in trial w001,directed,1591.0,"{'personal_suspicion': False, 'testimony_length': 176, 'reputation_years': nan}"
Laurent Doullat,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST,w001,0.95,Witness 7 in trial w001,directed,1591.0,"{'personal_suspicion': False, 'testimony_length': 500, 'reputation_years': nan}"
Jean Hangney,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST,w001,0.95,Witness 8 in trial w001,directed,1591.0,"{'personal_suspicion': False, 'testimony_length': 354, 'reputation_years': nan}"
Dyon femme Jean Vosgien,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST,w001,0.95,Witness 9 in trial w001,directed,1591.0,"{'personal_suspicion': False, 'testimony_length': 426, 'reputation_years': nan}"
Jean Vosgien,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST,w001,0.95,Witness 10 in trial w001,directed,1591.0,"{'personal_suspicion': False, 'testimony_length': 321, 'reputation_years': nan}"
Anthoine Rougier,"B 2148; witch 001; Jean Bulme et Didiere sa femme, de Mazerulles",TESTIFIED_AGAINST,w001,0.95,Witness 11 in trial w001,directed,1591.0,"{'personal_suspicion': False, 'testimony_length': 437, 'reputation_years': nan}"
