source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Claudon,Jean Bregeat,SPOUSE_OF,w003,1.0,"B 2192 no 2, witch 003, Claudon femme Jean Bregeat, de Sallonne",undirected,,{}
Jacquotte,Nicolas Tixerand,SPOUSE_OF,w005,1.0,"B 2199 no 1; witch 005, Jacquotte femme Nicolas Tixerand, du Bourget d'Amance",undirected,,{}
Catherine,Claudon Malgrais,SPOUSE_OF,w009,1.0,"B 2203 no 1; witch 009, Catherine femme Claudon Malgrais, de Champegnoult",undirected,,{}
Margueritte,Jean Estienne,SPOUSE_OF,w011,1.0,"B 2211 no 1; witch 011, Margueritte femme Jean Estienne, d'Amance",undirected,,{}
Jacotte,Demenge Romary,SPOUSE_OF,w012,1.0,"B 2512; witch 012, Jacotte femme Demenge Romary Petit Colin, de Seuche",undirected,,{}
Jacotte,Nicolas Fran,SPOUSE_OF,w013,1.0,"B 2521 no 1; Witch 013, Jacotte femme Nicolas François Raon de Xennenay",undirected,,{}
Mengeotte,Nicolas Colombain,SPOUSE_OF,w018,1.0,"B 2583 no 4; witch 018, Mengeotte femme Nicolas Colombain, de l'Estraye",undirected,,{}
Sebille,Jean Pierson,SPOUSE_OF,w026,1.0,"B 3323 no 2; witch 026, Sebille femme Jean Pierson, de Leintrey",undirected,,{}
Didier,Nicolas,SPOUSE_OF,w031,1.0,"B 3323 no 7; witch 031, Didier femme Nicolas le Vefue le Viel, de Leintrey",undirected,,{}
Jennon,Gerardin Friot,SPOUSE_OF,w036,1.0,"B 3325 no 3; witch 036, Jennon femme Gerardin Friot de Domjevin",undirected,,{}
Chrestienne,Nicolas Barret,SPOUSE_OF,w037,1.0,"B 3327 no 1; witch 037, Chrestienne femme Nicolas Barret de Domjevin",undirected,,{}
Barbelline,Jean Goudot,SPOUSE_OF,w038,1.0,"B 3327 no 2; Witch 038, Barbelline femme Jean Goudot, de Domjevin",undirected,,{}
Claudatte,Nicolas Chollat,SPOUSE_OF,w041,1.0,"B 3329; Witch 041, Claudatte femme Nicolas Chollat, de Repas",undirected,,{}
Hellenix,Barthelemin,SPOUSE_OF,w044,1.0,"B 3335 no 2; witch 044, Hellenix femme Barthelemin le Reytre, de Blamont",undirected,,{}
Margueritte,Claude Martin,SPOUSE_OF,w046,1.0,"B 3343; witch 046, Margueritte femme Claude Martin, de Leintrey",undirected,,{}
Jeanne,Demenge Mercier,SPOUSE_OF,w047,1.0,"B 3345; witch 047, Jeanne femme Demenge Mercier, d'Autrepierre",undirected,,{}
Jehenne,Joseph,SPOUSE_OF,w050,1.0,"B 3358; witch 050, Jehenne femme Joseph de la Moictresse, de Nutting",undirected,,{}
Rose,Louis Vincent,SPOUSE_OF,w052,1.0,"B 3363; witch 052, Rose femme Louis Vincent, d'Autrepierre",undirected,,{}
Fleuratte,Jean Maurice,SPOUSE_OF,w058,1.0,"B 3789 no 1; witch 058, Fleuratte femme Jean Maurice, de Docelles",undirected,,{}
Georgeatte,Colas Herteman,SPOUSE_OF,w059,1.0,"B 3789 no 2; witch 059, Georgeatte femme Colas Herteman, de Brouvelieures",undirected,,{}
Petroniere,Jean Varnier,SPOUSE_OF,w060,1.0,"B 3789 No 3; Witch 060, Petroniere femme Jean Varnier dit Bessat, de Bruyères",undirected,,{}
Claudate,Jacquat George,SPOUSE_OF,w064,1.0,"B 3792 no 3; witch 064, Claudate femme Jacquat George, de Dompierre",undirected,,{}
Thomasse,Jean Poirot,SPOUSE_OF,w065,1.0,"B 3792 no 4; witch 065, Thomasse femme Jean Poirot, de Dompierre",undirected,,{}
Barbe,Jean Mallebarbe,SPOUSE_OF,w069,1.0,"B 4077 no 1 Witch 069, Barbe femme Jean Mallebarbe",undirected,,{}
Catherine,Adam Tarillon,SPOUSE_OF,w091,1.0,"B 5312 no 1; witch 091, Catherine femme Adam Tarillon de Bassing",undirected,,{}
Senelle,Waisen Petter,SPOUSE_OF,w095,1.0,"B 5312 no 5; witch 095, Senelle femme Waisen Petter, de Bisping",undirected,,{}
Odile,Martin Claude,SPOUSE_OF,w097,1.0,"B 5327 no 2; witch 097, Odile femme Martin Claude, d'Assenoncourt",undirected,,{}
Mayette,Dietrich Gaste,SPOUSE_OF,w099,1.0,"B 5344 no 2; witch 099, Mayette femme Dietrich Gaste de Wirming",undirected,,{}
Synnelle,Schneyder Hanns,SPOUSE_OF,w100,1.0,"B 5344 no 3; witch 100, Synnelle femme Schneyder Hanns d'Amange (Insming)",undirected,,{}
Synnelle,Schur Adam,SPOUSE_OF,w101,1.0,"B 5344 no 4; Witch 101, Synnelle femme Schur Adam d'Amange (Insming)",undirected,,{}
Jennon,Lux Barquel,SPOUSE_OF,w102,1.0,"B 5354 no 1; Witch 102, Jennon femme Lux Barquel de Blanche Eglise",undirected,,{}
Sibille,Jean Vacquaire,SPOUSE_OF,w105,1.0,"B 5757; witch 105, Sibille femme Jean Vacquaire d'Einville",undirected,,{}
Babillon,Claudon Girard,SPOUSE_OF,w106,1.0,"B 5769; witch 106, Babillon femme Claudon Girard de Bathelemont-les-Bauzemont",undirected,,{}
Mengette,Jean Cachette,SPOUSE_OF,w107,1.0,"B 6723 no 1: witch 107, Mengette femme Jean Cachette de Flin",undirected,,{}
Claudatte,Nicolas,SPOUSE_OF,w111,1.0,"B 7122; witch 111, Claudatte femme Nicolas du Val du Mesnil les Gircourt",undirected,,{}
Margo,Jean Georges,SPOUSE_OF,w117,1.0,"B 7137 no 3; witch 117, Margo femme Jean Georges, de Parey-sous-Montfort",undirected,,{}
Isabillon,Jean Parmentier,SPOUSE_OF,w123,1.0,"B 7326; witch 123, Isabillon femme Jean Parmentier, de la Neufville-devant-Nancy",undirected,,{}
Jeannon,Didier Collignon,SPOUSE_OF,w127,1.0,"B 8272; witch 127, Jeannon femme Didier Collignon, de Pargny",undirected,,{}
Chrestaille,Jean Wathot,SPOUSE_OF,w128,1.0,"B 8275 no 1; witch 128, Chrestaille femme Jean Wathot, de Preny",undirected,,{}
Babon,Willaume Laboureur,SPOUSE_OF,w129,1.0,"B 8275 no 2; witch 129, Babon femme Willaume Laboureur, de Preny",undirected,,{}
Jeanne,Claudin Bigenel,SPOUSE_OF,w131,1.0,"B 8281 no 1; witch 131, Jeanne femme Claudin Bigenel de Villers-sous-Preny",undirected,,{}
Zabel,Olry Go,SPOUSE_OF,w135,1.0,"B 8535 no 3; witch 135, Zabel femme Olry Go de Rozieres",undirected,,{}
Laurence,George Jolbay,SPOUSE_OF,w147,1.0,Witch 147: B8667 no 9: Laurence femme George Jolbay de Ste Margaree,undirected,,{}
Jeanne,Jean Lienard,SPOUSE_OF,w148,1.0,"B 8669 no 1; Witch 148, Jeanne femme Jean Lienard le maimbourg, de Ginfosse",undirected,,{}
Barbeline,Claude Wanesson,SPOUSE_OF,w150,1.0,"B 8669 no 3; Witch 150, Barbeline femme Claude Wanesson, de St Dié",undirected,,{}
Jehennon,Jean Perrin,SPOUSE_OF,w153,1.0,"B 8673 no 2; witch 153, Jehennon femme Jean Perrin de Girovillers-sous-Montfort",undirected,,{}
Barbelline,Jean Girardin,SPOUSE_OF,w157,1.0,"Witch 157: B8677 no 3, Barbelline femme Jean Girardin de Bonipaire",undirected,,{}
Blasotte,Claudon Collon,SPOUSE_OF,w160,1.0,"Witch 160: B8677 no 6, Blasotte femme Claudon Collon de La Chapelle",undirected,,{}
Jehenne,Demenge,SPOUSE_OF,w163,1.0,"Witch 163; B8667 no 9, Jehenne femme Demenge le Maire, de La Chapelle",undirected,,{}
Jeanne,Demenge Claude,SPOUSE_OF,w164,1.0,"B 8677 no 10; Witch 164, Jeanne femme Demenge Claude Martin, de Mandray",undirected,,{}
Catherine,Villaume Jean,SPOUSE_OF,w167,1.0,"B 8677 no 13 and B 8680 no 1; witch 167, Catherine femme Villaume Jean Martin du",undirected,,{}
Laurence,Nicolas Viney,SPOUSE_OF,w168,1.0,"B 8678 no 1; witch 168, Laurence femme Nicolas Viney, du Faing (Ste Marguerite)",undirected,,{}
Libaire,Guillaume Bouchier,SPOUSE_OF,w171,1.0,"B 8678 no 4; witch 171, Libaire femme Guillaume Bouchier, de St Dié",undirected,,{}
Barbelline,Mengeon Jean,SPOUSE_OF,w174,1.0,"B 8680 no 4; witch 174, Barbelline femme Mengeon Jean de Mandray",undirected,,{}
Mongeatte,Claude Tendon,SPOUSE_OF,w175,1.0,"B 8680 no 5; witch 175, Mongeatte femme Claude Tendon, de Saulcy-sur-Meurthe",undirected,,{}
Barbelline,Holbin,SPOUSE_OF,w179,1.0,"B 8682 no 1; witch 179, Barbelline femme Holbin le Jalley, des Trois Maisons",undirected,,{}
Marie Alexey,Jean Chastellain,SPOUSE_OF,w180,1.0,"B 8682 no 2; witch 180, Marie Alexey femme Jean Chastellain, de Colroy",undirected,,{}
Didielle,Demenge Simmonel,SPOUSE_OF,w183,1.0,"B 8682 no 5; witch 183, Didielle femme Demenge Simmonel, de St Marguerite",undirected,,{}
Agathe,Colas Jobay,SPOUSE_OF,w185,1.0,"B 8682 no 7; witch 185, Agathe femme Colas Jobay du Faing",undirected,,{}
Claudatte,Jean Parmentier,SPOUSE_OF,w187,1.0,"B 8682 no 9; witch 187, Claudatte femme Jean Parmentier, de Ste Marguerite",undirected,,{}
Catherine,Jean Bertremin,SPOUSE_OF,w193,1.0,"B 8684 no 6. Witch 193, Catherine femme Jean Bertremin de Clefcy",undirected,,{}
Mengeatte,Jean Babé,SPOUSE_OF,w195,1.0,"B 8684 no 8. Witch 195, Mengeatte femme Jean Babé, de Sarupt",undirected,,{}
Mengeotte,Jacot Blaise,SPOUSE_OF,w199,1.0,"B 8687 no 1; witch 199, Mengeotte femme Jacot Blaise, du Viel Marché",undirected,,{}
Marguitte,Jean Jacquot,SPOUSE_OF,w200,1.0,"B 8687 no 2; witch 200, Marguitte femme Jean Jacquot, de la Vacherie",undirected,,{}
