source,target,relationship_type,trial_id,confidence,evidence_text,direction,temporal_marker,attributes
Collatte,Cesar Lorette,WIDOW_OF,w007,1.0,"B 2199 no 3; witch 007, Collatte veuve Cesar Lorette, of Laitre-sous-Amance",directed,,{}
Mariette,Claude Malfourby,WIDOW_OF,w008,1.0,"B 2199 no 4; witch 139, Mariette veuve Claude Malfourby, d'Amance",directed,,{}
Remiere,Bastien Clement,WIDOW_OF,w016,1.0,"B 2583 no 2; witch 016, Remiere veuve Bastien Clement Beustal, du Thillot",directed,,{}
Royne,Dilan Parmentier,WIDOW_OF,w021,1.0,"B 2583 no 7; witch 021, Royne veuve Dilan Parmentier, dite des Tartres, de",directed,,{}
Didie,Demenge Pourlatte,WIDOW_OF,w023,1.0,"B 3317 no 1; Witch 023, Didie veuve Demenge Pourlatte, de Blamont",directed,,{}
Jennon,Didier Ramaixe,WIDOW_OF,w024,1.0,"B 3317 no 2; Witch 024, Jennon veuve Didier Ramaixe alias Virtemberg, de Blamont",directed,,{}
Jeannotte,Claudon Toussaint,WIDOW_OF,w025,1.0,"B 3323 no 1; witch 025, Jeannotte veuve Claudon Toussaint, de Leintrey.",directed,,{}
Clemence,Claudon Marchal,WIDOW_OF,w035,1.0,"B 3325 no 2; witch 035, Clemence veuve Claudon Marchal, de Domjevin",directed,,{}
Jennon,Jean Zabey,WIDOW_OF,w043,1.0,"B 3335 no 1; witch 043, Jennon veuve Jean Zabey, de Leintrey",directed,,{}
Jeanne,Valentin Claude,WIDOW_OF,w055,1.0,"B 3728; witch 055, Jeanne veuve Valentin Claude Thihard du Void de Belmont",directed,,{}
Ysabeau,Nicolas Demenge,WIDOW_OF,w061,1.0,"B 3789 no 4; witch 061, Ysabeau veuve Nicolas Demenge Richard, d'Aydoilles",directed,,{}
Esdeline,Thoussainct Tarrion,WIDOW_OF,w075,1.0,"B 4098; witch 075, Esdeline veuve Thoussainct Tarrion, de Charmes",directed,,{}
Jeanne,Mansuy Magnien,WIDOW_OF,w089,1.0,"B 4576; witch 089, Jeanne veuve Mansuy Magnien, de Neufchâteau",directed,,{}
Gillette,Bastien Jean,WIDOW_OF,w090,1.0,"B 4998; witch 090, Gillette veuve Bastien Jean Page, de Condé (Custines)",directed,,{}
Catherine,Jean Lhuillier,WIDOW_OF,w092,1.0,"B 5312 no 2; Witch 092, Catherine veuve Jean Lhuillier de Maizieres, demeurant à",directed,,{}
Anon,Didier Vosgien,WIDOW_OF,w093,1.0,"B 5312 no 3; witch 093, Anon veuve Didier Vosgien de Bassing",directed,,{}
Mengeatte,Grand Jacques,WIDOW_OF,w109,1.0,B 6760. Witch 109; Mengeatte veuve Grand Jacques de Rehainviller,directed,,{}
Margueritte,Barthelemin Liegey,WIDOW_OF,w113,1.0,"B 7314 no 2; witch 113, Margueritte veuve Barthelemin Liegey d'Ambacourt",directed,,{}
Jennon,Florentin Bouvier,WIDOW_OF,w116,1.0,"B 7137 no 2; witch 116, Jennon veuve Florentin Bouvier, de Parey-sous-Montfort",directed,,{}
Barbe,Mengin Remicourt,WIDOW_OF,w124,1.0,"B 7354; witch 124, Barbe veuve Mengin Remicourt, de Vandeuvre",directed,,{}
Margueritte,Claudin Hierosme,WIDOW_OF,w132,1.0,"B 8281 no 2; witch 132, Margueritte veuve Claudin Hierosme, de Vilcey-sur-Trey",directed,,{}
Jehenne Medexin,Bastien,WIDOW_OF,w133,1.0,"B 8535 no 1; witch 133, Jehenne Medexin veuve Bastien de Neufviller, de Rozieres",directed,,{}
Ydatte,Demenge Moyne,WIDOW_OF,w134,1.0,"B 8535 no 2; witch 134, Ydatte veuve Demenge Moyne, de Rozieres",directed,,{}
Margueritte,Claudon Forget,WIDOW_OF,w137,1.0,"B 8535 no 5; witch 137, Margueritte veuve Claudon Forget de Rozieres",directed,,{}
Claudatte,Michel Demenge,WIDOW_OF,w146,1.0,"Witch 146: B8667 no 8, Claudatte veuve Michel Demenge Antoine du Viel Marché",directed,,{}
Meline,Martin Gentilhomme,WIDOW_OF,w158,1.0,"Witch 158: B8677 no 4, Meline veuve Martin Gentilhomme de St Dié",directed,,{}
Claudatte,Estienne Jean,WIDOW_OF,w161,1.0,"Witch 161; B8677 no 7, Claudatte veuve Estienne Jean Saulcy, d’Entre-deux-Eaux",directed,,{}
Mongeatte,Jacques,WIDOW_OF,w166,1.0,"B 8677 no 12; witch 166, Mongeatte veuve Jacques de la Woeuvre, de St Blaise",directed,,{}
Marion,Demenge,WIDOW_OF,w169,1.0,"B 8678 no 2; witch 169, Marion veuve Demenge le Masson, de St Dié",directed,,{}
Colatte,Jean,WIDOW_OF,w184,1.0,"B 8682 no 6; witch 184, Colatte veuve Jean le Parmentier, de Girompaire",directed,,{}
Marion,Demenge Arnoulx,WIDOW_OF,w189,1.0,"B 8684 no 2. Witch 189; Marion veuve Demenge Arnoulx, de Sauceray",directed,,{}
Barbelline,Demenge Mareschal,WIDOW_OF,w192,1.0,"B 8684 no 5; Witch 192, Barbelline veuve Demenge Mareschal, de Saulceray",directed,,{}
Claudatte,Mengeon Henry,WIDOW_OF,w197,1.0,B 8684 no 10. Witch 197; Claudatte veuve Mengeon Henry and Dieudonnée femme,directed,,{}
Mengeatte,Colas Lienard,WIDOW_OF,w204,1.0,"B 8687 no 6; witch 204, Mengeatte veuve Colas Lienard de la Rochatte",directed,,{}
Georgeatte,Jean Grand,WIDOW_OF,w205,1.0,"B 8687 no 7; witch 205, Georgeatte veuve Jean Grand Didier, de la Vacherie",directed,,{}
Jeannon,Valentin Poirot,WIDOW_OF,w211,1.0,"Witch 211; B 8689 no 3, Jeannon veuve Valentin Poirot, Moyemont",directed,,{}
Marie,Martin Oudinat,WIDOW_OF,w213,1.0,"B 8691 no 2; witch 213, Marie veuve Martin Oudinat, de Raon",directed,,{}
Alix,Demenge Marond,WIDOW_OF,w214,1.0,"B 8691 no 3; witch 214, Alix veuve Demenge Marond, de Raon",directed,,{}
Jennon,Nicolas Bresson,WIDOW_OF,w222,1.0,"B 8691 no 11; witch 222, Jennon veuve Nicolas Bresson dit Neuxat, de St Blaise",directed,,{}
Catherine,Jean Demenge,WIDOW_OF,w227,1.0,"B 8691 no 16; witch 227, Catherine veuve Jean Demenge, d'Anozel",directed,,{}
Claudatte,Jean Henri,WIDOW_OF,w235,1.0,"B 8699; witch 235, Claudatte veuve Jean Henri de Lubine",directed,,{}
Marguitte,Jean Digard,WIDOW_OF,w238,1.0,"B 8700 no 3; witch 238, Marguitte veuve Jean Digard, de Raon",directed,,{}
Jennon,Demenge Napuel,WIDOW_OF,w245,1.0,"B 8702 no 6; witch 245, Jennon veuve Demenge Napuel, de Raves",directed,,{}
Jennon,Colas Ydoulx,WIDOW_OF,w260,1.0,"B 8707 no 8; witch 260, Jennon veuve Colas Ydoulx, de Nompatelize",directed,,{}
Marguitte,Jean Laurent,WIDOW_OF,w264,1.0,"B 8708 no 3; witch 264, Marguitte veuve Jean Laurent de Brehimont",directed,,{}
Jehennon,Thomas Diez,WIDOW_OF,w275,1.0,"B 8712 no 4; witch 275, Jehennon veuve Thomas Diez Thomas de Mazelay",directed,,{}
Epnon,Jean Charbonatte,WIDOW_OF,w279,1.0,"Witch 279; B 8715 no 2, Epnon veuve Jean Charbonatte, de Sachemont",directed,,{}
Dion,Jean Remy,WIDOW_OF,w292,1.0,"B 8719 no 3; witch 292, Dion veuve Jean Remy de Raon",directed,,{}
Didiere,Nicolas Failly,WIDOW_OF,w305,1.0,"B 8724 no 5. Witch 305, Didiere veuve Nicolas Failly, de Raon",directed,,{}
Colatte,Colas,WIDOW_OF,w308,1.0,"B 8726 no 3; witch 308, Colatte veuve Colas de la Ruelle alias Girey, de la Bourgonce",directed,,{}
Fleuratte,Anthoine Valdexey,WIDOW_OF,w309,1.0,"B 8730; witch 309, Fleuratte veuve Anthoine Valdexey, de Clefcy",directed,,{}
Jaulne,Nicolas Vincent,WIDOW_OF,w318,1.0,"B 8941 no 2. Witch 318; Jaulne veuve Nicolas Vincent, de St Nicolas",directed,,{}
Nicole,Mengin Nigal,WIDOW_OF,w319,1.0,"B 8945; witch 319, Nicole veuve Mengin Nigal, de Saint Nicolas",directed,,{}
Claudon,Mengin Wannier,WIDOW_OF,w323,1.0,"B 8961 no 1. Witch 323, Claudon veuve Mengin Wannier, de St Nicolas",directed,,{}
Jeanne Petiotte,Pierre Maulgrais,WIDOW_OF,w329,1.0,"B 8986 no 1; witch 329, Jeanne Petiotte veuve Pierre Maulgrais de St Nicolas",directed,,{}
Barbe,Francois Barbier,WIDOW_OF,w330,1.0,"B 8986 no 2; witch 330, Barbe veuve Francois Barbier de Saint Nicolas",directed,,{}
Catherine,Jean Diez,WIDOW_OF,w337,1.0,"Vosges G 707 no 2; witch 337, Catherine veuve Jean Diez, de la Bolle",directed,,{}
Jennotte,Gerardin Rodeans,WIDOW_OF,w003,1.0,Jennotte veuve Gerardin Rodeans,directed,,{}
Tante Libar,Claude,WIDOW_OF,w003,1.0,Tante Libar veuve Claude le Boeuf,directed,,{}
Claudon,Jean Munisier,WIDOW_OF,w003,1.0,Claudon veuve Jean Munisier,directed,,{}
Aynel,Jean Abriat,WIDOW_OF,w003,1.0,Aynel veuve Jean Abriat,directed,,{}
Dedie,Prins Barheur,WIDOW_OF,w003,1.0,Dedie veuve Prins Barheur,directed,,{}
Marguerite,Claude Hersault,WIDOW_OF,w005,1.0,Marguerite veuve Claude Hersault,directed,,{}
Barbe,Demenge Pouignon,WIDOW_OF,w005,1.0,Barbe veuve Demenge Pouignon,directed,,{}
Izabel,Didier Barizien,WIDOW_OF,w008,1.0,Izabel veuve Didier Barizien,directed,,{}
